,date,shot,fuel,oxidizer,diluent,t_0,u_t_0,p_0_nom,p_0,u_p_0,phi_nom,phi,u_phi,dil_mf_nom,dil_mf,u_dil_mf,wave_speed,u_wave_speed,t_ad,cj_speed,sound_speed,dil_mf_co2e,u_dil_mf_co2e
38,2020-12-08,5,CH4,N2O,CO2,290.11237392935226,3.4873852645910026,101325.0,101387.26248895106,3.4793785036483493,1.0,1.0440013927944984,0.0003269685721084,0.15,0.1541150168917253,5.274470696182958e-05,1979.2207792207791,2.596512865403638,2731.234338217669,2012.534049579221,1087.7318525522278,0.1541150168917253,5.274470696182958e-05
39,2020-12-07,5,CH4,N2O,CO2,289.3079686503385,3.487385241288333,101325.0,101409.77581622652,3.3179555608813014,0.7,0.7347519096450914,0.0004022885982607,0.15,0.1553884881831529,7.397557221373399e-05,1884.8056537102475,2.3546976306669536,2653.9529201392484,1933.1665439073436,1046.17509478215,0.1553884881831529,7.397557221373399e-05
40,2020-12-08,6,CH4,N2O,CO2,290.21594639716017,3.487385277138625,101325.0,101378.15361181145,2.8614013446270623,0.4,0.4139934417145948,0.00027912669534,0.15,0.1544475982033697,5.3010585715641e-05,1754.6052631578948,2.0406139471789606,2438.18638781517,1820.3116984411363,992.0151955504584,0.1544475982033697,5.3010585715641e-05
41,2020-12-10,6,CH4,N2O,N2,289.0337137960988,3.487385183452373,101325.0,101362.17613918388,2.305871234638261,0.7,0.7321308668424342,0.0003683939439754,0.15,0.291755055650628,5.411028728146589e-05,1994.018691588785,2.6354843712810845,2655.1294521389464,1998.8129967950856,1089.9869484039546,0.291755055650628,5.411028728146589e-05
42,2020-11-24,6,CH4,N2O,N2,289.7090428434992,3.487385221634513,101325.0,101402.56499031936,2.8517477465797487,1.0,1.05759571789862,0.0004706854564756,0.15,0.3149170657690547,6.00307464994025e-05,2047.600767754319,2.7790256968178064,2728.598845853241,2068.719309087798,1126.1096443542988,0.3149170657690547,6.00307464994025e-05
43,2020-12-07,6,CH4,N2O,CO2,289.21519418484115,3.487385233871126,101325.0,101403.63970504748,2.9639226091313464,1.0,1.0553963589975472,0.0005935147117772,0.2,0.2070637130774294,8.442495683144133e-05,1911.8279569892472,2.4226998438160448,2663.1679673057283,1949.0590293798325,1052.9729762958982,0.2070637130774294,8.442495683144133e-05
44,2020-12-27,6,CH4,N2O,N2,292.138498157817,3.493192693831228,101325.0,101343.75700467928,3.7259846630417335,1.0,1.0620948541420951,0.0004543997767889,0.2,0.3839136999561388,5.671011995013317e-05,1982.899628252788,2.606174300278913,2661.6437034353844,2029.14102627916,1106.9854866259318,0.3839136999561388,5.671011995013317e-05
45,2020-11-23,6,CH4,N2O,N2,289.97225836887264,3.487385213596373,101325.0,101344.93132947228,2.1783656764441472,1.0,1.071127419771168,0.0005572314158611,0.2,0.3855821486481584,6.255536743914626e-05,2016.6351606805288,2.695607556326363,2659.7004129057286,2029.9700106321573,1107.395372939662,0.3855821486481584,6.255536743914626e-05
46,2020-11-26,6,CH4,N2O,CO2,289.23944424333007,3.487385266238112,101325.0,101388.64455840018,2.182577610157576,0.4,0.4263594168987509,0.0004948981754458,0.2,0.2071463472671375,8.320551779114648e-05,1720.645161290323,1.9623868734910757,2365.8882139070024,1769.2555971736726,964.566019323224,0.2071463472671375,8.320551779114648e-05
47,2020-12-09,6,CH4,N2O,CO2,290.27421702422345,3.487385224832522,101325.0,101435.3924738486,3.0295403038593363,0.4,0.4151182628962736,0.0003035374215471,0.15,0.1541129217870591,5.2953713721213694e-05,1751.7241379310344,2.0339179256148574,2439.934179555463,1821.16492645142,992.2897789746336,0.1541129217870591,5.2953713721213694e-05
